A.	he.
O  vho mə́ gɔ́?	Where are you from?
Meŋ vho mə́ Esaá.	I come from the market.
Meŋ vho mə́ Asikúu.	I come from school.
Meŋ vho mə́ Afaʼ.	I come from work.
Meŋ vho mə́ Cɔ́si.	I come from church.
Meŋ vho mə́ Ŋkāʼ.	I come from the farm.
Meŋ vho mə́ Alāʼ.	I come from the village.
tsápla.	mistletoe.
tsɔ́’.	partridge.
vɛ́né.	obstacle.
avhō.	ash.
avēm.	a ghost!
wómɔ’ɔ́.	one.
yoóhoo.	beloved.
Zíiŋ.	sheet metal.
Lezhō.	nose.
Lezēŋ.	the name.
Pek.	we.
ta’.	one.
apa.	a bag.
ana.	a cultivated parcel.
aka.	alliance.
ə.	eu.
atə.	strength.
alə̄.	tongue.
lepə́.	law.
mémpīā.	two.
métɛ́t.	three.
lekua.	four.
mentáa.	five.
ntokó.	six.
saambīā.	seven.
lefaá.	eight.
levuʼó.	nine.
legēm.	ten.
lejúʼ.	to understand.
ntsɔpzɛ́mɔʼɔ́.	eleven.
ntsɔppīā.	twelve.
ntsɔpntɛ́t.	thirteen.
ntsɔplekua.	fourteen.
ntsɔpntáa.	fifteen.
ntsɔpntokó.	sixteen.
ntsɔpsaambīā.	seventeen.
ntsɔplefaá.	eighteen.
ntsɔplevuʼó.	ninteen.
megēm ḿbīā.	twenty.
Ó ziɛɛ?	good morning.
njhʉ̄láa?	well slept?
á láa?	how was your night?
Ó zōk ńsáʼá kɔ̄?	good day!
meŋ á zōk ntentə́.	Good afternoon!
ndém ńdēm.	zero.
Mə́ lə́ ŋ́gɛ!	Thanks!
meŋ á síákné!	thank you!
meŋ á síákné tɛ zá!	thanks a lot!
á séeŋ.	good evening!
ndáanjhʉ̄.	morning.
táŋazúkú.	afternoon.
ŋkɔ́ʼɔtswɛt.	evening.
séeŋnjhʉ̄.	night.
mɔ́ndɛ.	monday.
ápta mɔ́ndɛ.	tuesday.
wínísidɛ́ɛ.	wednesday.
tɔ́sidɛ́ɛ.	thursday.
fraádɛ.	friday.
sásidɛ́ɛ.	saturday.
sɔ́ɔ́ndɛ.	sunday.
Legʉɔ ajʉʼ.	to go somewhere.
leghʉɛ azō.	to do something.
Mə́ lə́ ŋ́gɛ zhɛ́ léshʉʼ.	we say welcome.
Náŋŋá sī.	have a seat.
lesok nnɛ̄t.	to bath.
Leghíténnɛ̄t.	to introduce yourself.
lelá lekluŋ.	to cook.
lenú nts-hi.	to drink some water.
letúʼ nts-hi.	to fetch some water.
Mə́ lə́ ŋ́gɛ akɔ̄ ńdɔkɔ ńdāʼnī?	How do we say goodbye?
Letɔ́ŋ aŋwaʼne.	to read a text.
lejɔk atetá.	to sweep the courtyard.
Mə́ lɔ́ɔ azō lɛ akɔ̄?	How do we ask for something?
Levéŋ pɔ́ lelʉ’.	to say yes or no.
Metseŋ mə́ə ŋghi.	Vowels.
Mə́ gɔ gɛ.	we could say.
Ií i.	goodbye.
Lezēŋ cú á lɛkɔ̄?	What is your name?
Mə́ tɔ́ŋɔ́ wú lɛkɔ̄?	What do they call you?  
Shʉʼɛ ńshúŋɔ́ gá lezēŋ cú.	come tell me your name.
Lezēŋ tsá lɛ.	my name is.
Mə́ tɔ́ŋɔ́ gá lɛ.	they call me.
a cʉ́ʼ afʉʼmmɔ̄ʼ.	next time.
mboo! bye!
a cʉ́ʼ zɔ̄!	kiss!
Elɛ́ʼɛ́.	days.
Lezēŋ tsá lɛ.	my name is.
Efwɔ̄k lékō pɔ́ ajʉʼ lélo.	coldness and heat.
Efwɔ̄k á sí ŋ́kó.	it is cold.
Efwɔ̄k á sí ŋ́kóo gá.	i feel cold
Mbeŋ á sí ńdú.	it is raining.
Nu á sí ŋ́kíá.	there is sun.
Nzi lézáŋ pɔ́ agāk léshhʉ̄.	hunger and thirst.
Nzi á sí ńzáŋa gá.	i am hungry.
Agāk zá sí ńshhʉ́ɛ́.	i am thirsty.
Meŋ á sí ḿpfɛ́tɛ́ azō.	i am eating something.
Meŋ á sí ńnú meluʼ.	i am drinking wine.
Mə́ tɔ́ŋɔ́ gá lɛ.	they call me.
mə́ tɔ́ŋɔ́ á lɛ ajhə̄.	we call it stomach.
Meŋ ghʉɔ Esaá.	i am going to the market.
lelɔ́ atsō léjhʉ̄.	to ask for food.
tsɔ́ʼɔtsɔ̄ʼ nzi á sī ńzáŋŋa gá.	Please I am hungry!
Meŋ a pfɛ́ɛ́ atsō.	I want to eat.
Legʉɔ ajʉʼ.	to go somewhere.
O  ghʉɔ mə́ gɔ́?	Where do you go?
Meŋ a nú nts-hi.	I want to drink some water.
Afʉʼ mbeŋ pɔ́ afʉʼ alo.	rainy season and dry Season.
Mə́ síákné lɛ akɔ̄?	How do we say thanks?
mé gɔ zɛ ńdə́ ŋ́gɛ.	we can also say this.
mə́ tɔ́ŋɔ́ á lɛ mesɔŋ.	We call them teeth.
Ńnáŋ á tsaŋ pɔ́ memɔʼɔ́ pá.	I live in Dschang whith my parents.
mə́ tɔ́ŋɔ́ á lɛ ŋgaŋa-nnɛ̄t.	we call them vein.
mamá sī ńsōkō lekʉŋ.	mummy is whashing pot.
Meéŋ sī ńsōkō mbū má.	i am whashing my hands.
mə́ luú esī ndáanjhʉ̄ ńzī mə́ akɔ̄ léghʉ̄?	When they wake up in the morning, what is the first thing to be done?
atsa’te ndáanjhʉ̄ á lɛkɔ̄?	how do they greet in the morning?
ŋŋ! Njhʉ̄ lā! O á ziɛ?	yes good morning. Have you woken up?
ŋŋ meŋ á ziɛ. O á nzí mbɔŋŋɔ́ɔ?	yes, so did ʼi. Did you sleep wel?
meŋ á líi zá mbɔŋɔ́.	so did I.
o á cu’ mesɔŋ múu?	did you brush your teeth?
oo!	ok!
Məŋ á kɔŋŋɔ wú!	That is good!
O ziɛ ndáanjhʉ̄.	When you wake up in the morning.
o zii mə́ atsa’te mboo.	you start by greeting.
mə́ luú esī ndáanjhʉ̄ ńzī	when they wake up in the morning.
á mvho ńtsā’tē.	the first thing to be done is to greet.
njhʉ̄ láa papá?	it is good morming daddy?
mamá.	mummy.
ŋŋ meŋ á ziɛ.	yes i got up.
O á ziɛ júu?	So did you?
meŋ á lī mbɔŋɔ́.	yes i did.
O á líi jú mbɔŋɔ́ɔ?	And you?
meŋ zɛ́ tə cu’.	not yet.
Meŋ á gɛ meŋ tsa’te tə́ ŋ́kúɔ́ mefa’.	I wanted to greet before starting working.
meŋ á jū’.	i have understood.
ée! O á ghʉɔ tə ḿbīŋ ɛ́?	are you back?
meŋ á mba.	i am there.
Asikúu á sá’ā kɔ̄?	How was school?
kúmné nzhó ḿpfɛ́t atsō.	take of your dresses and eat.
o á gɔ̄?	where are you?
Atsō cú a cʉɔ!	Here is your food!
ápūp mə méŋ ga!	that is good!
a cʉɔ!	this is it!
Kɔ!	take!
o pfɛɛ o tə zwíɛ́t mə́ tswi’ne!	if you are not satiated we add!
ká mɔ’ɔ́ goo?	so?
ŋŋ meŋ á ghʉɔ tə ḿbīŋ.	yes i am back.
O á mbaa?	Are you there?
asikúu á gɔ́ɔ nda.	school was good.
ŋŋ nzi í sī ńzi ńzáŋa gá.	yes i am even hungry.
meŋ égā ńshʉ̄’ɔ̄.	i am coming.
 Meŋ á sī ńsōko mbū má.	I am washing my hands.
á gɔ̄?	where is it ?
meŋ á syakne tɛ zá!	thanks a lot!
meŋ zi ńzwíɛ́t-zwīɛ̄t.	even if i am satiated.
mbo mə́ tswi’nee.	 we will add.
O á zhɛ́ pá’ ŋkum-ŋkum nnā’ njʉ’ pɔŋɔ́ gā!	I like fufu casava and egusi soup you know!
ŋŋ!	yes!
meŋ á tsa’te!	hello!
meŋ á zhɛ́ wú.	i know you.
O kə́ ka gá zhɛ́!		but you don’t know me!
lezēŋ tsá lɛ ntsamɔ́.	my name is tsamo.
Á méŋ tɛŋi Mokem.	mr  Mokem’s son.
afa’.	it is work.
Meŋ gókó á báaŋ.	I’m a banker.
mə́ kə shwáŋá gá ŋ́gýɛ́ atsaŋ tɛ á lɛ ŋ́gɔ́ɔ ta’ ŋgap.	i have been transfered to Dschang just a week ago.
meŋ á zhɛ́ wú mbɔŋŋɔ́.	i know you very well.
o tə náŋá ayaoundɛ ɛ́ɛ?	Don’ you live in Yaounde?
meŋ zɛ́ tə láŋgȳā.	i am not yet married.
ŋ́kə́ nɔŋɔ ńsáŋŋá.	I am thinking about.
Pɔ́ é zɔ́p ayaoundɛ é lɛkɔ̄?	How are they doing in Yaoundé?
meŋ ndɛ ŋ́gɔ́ meŋ á lə  néŋ tə́ tsa’te wúú!	no could i not greet you!
meŋ nɔŋɔ ńtsā’tɛ̄!	hello!
anuúnə̄ meŋ tə sī ŋgīŋɛ wúú!	it is truth!
Awɔ́ ŋiŋ mə́ pūp?	i don’t remember  you?
yée yée piŋ ńjʉ́ɔ́ pá’ menēk má é kɛ’tɛ!	oh yes Look  at the resemblance!
Yyééé pek mɔ’ɔ́ wu é mbɔŋ.	your father and i are goods freinds!
O á tsaŋ ŋ́gāá ā?	What are you doing in Dschang?
o á jʉ́ɔ́ wɔ́kɔ lépootee?	what an encounters?
O zhɛ́ɛ lezēŋ tsáa?	Do you know my name?
Meŋ á lɛ tɛŋi tɛŋgʉ.	I’m tagni Tegue.
ŋ́ŋ ŋ́!	of course!
Meŋ á shʉ’ atsaŋ shʉ’i.	I just came to Dschang.
Ewɔ̀nŋkhʉ̄ é metetə́e?	How are your children?
pɔ́ me tetə́!	they are fine!
o tə gá tsa’te mbo meŋ á zhɛ́ɛ ŋiŋ ts-hé á legʉ̄ŋ meŋ tə ŋgɔ́ɔ méŋ ga hɛ́ méŋ á kɔŋŋɔ wú lə́ zaŋne chu!	If you did not greet me I would not know that my son was standing next to me!
ápūp!	that is good!
Ntsɔ́ŋ mé ga ndʉ̄ɔ̄nɛ́.	He who uses to hide himself is a bad man
meŋ a lɛ jhʉ́ apɛ é yá ajúu akɛtte agoónu mɛ́rɛ́ti ga.	I will seize the opportunity to give your own invitation to my marriage.
ŋŋ meŋ	yes it is me
pɔkɔ tə́ zúkū éla’nɛ́.	let's keep in touch.
o gɔ́ ntentə́.	Stay well.
esó ga letɔ́ŋ tə nshúŋɔ́ gá.	my freind has already phoned me about it.
Wu mə́ mɛrɛ ká?	You are the one who is geting married right?
meŋ á syakne.	Thanks!
Ḿpɛ mə́ lā’ égɔ̄ nnɔ.	we are together.
o gɔ́ jú ntentə́ mə méŋ ga!	So to you my son!
mmá njhʉ̄ láa?	good morning mum!
ŋŋ meŋ a shʉ’.	yes i came.
ńdánté.	well.
Mmá ga á túɔ́ gá ŋ́gɛ tsɔ́’ɔ-tsɔ̄’ o yá yí mía lekʉŋ cú.	My mum sent me She begs you to borrow her  your big pot. 
á lá mə méŋ ga!	Good morning my son.
O á shʉ’ ii?	You came? 
mba á lɛkɔ̄?	how is your family?
a cʉɔ kʉá ńdɔkɔ ńdúɔ̄.	this is it take and leave.
Meŋ á nzem wu.	i am following.
o zuku ńsyáknɛ́ akɔ?	you’re welcome!
luu azɔ́ ńshʉ̄’ pɔkɔ gɔ ŋkā’ ḿfā’	Come tomorrow so that we can go together and look for it.
oo!	ok!
meŋ á jū’.	i’ve understood.
nza á mɛ́t ŋiŋ á ndá’ ńdɔ́ a píŋ ka tsɔ́’ɔ́.	that axe someone asked and has not yet brougth it back.
shʉ’ɛ ńtswí.	come and take.
meŋ égā ńshʉ̄’ɛ̄.	i am coming.
zwí’té mbɔŋɔ́!	listen well!
mbo meŋ á zwī’tē ŋ́gɛ o lá’ ńdɔ́ ɛ́?	I would not have waited you to ask do you need something?
kɔ meláŋ mú mwɔ.	take this your shoes.
kɔ ŋkāp ŋ́gɔ ŋ́kwɛ́t ntsɔ’ ju.	take some money to dress your hair.
meŋ á syakne pá’ o kə yɛ́ ŋkāp asikúu zá.	thanks for having paid my school fees.
tɛ afʉ’ emɔ̄’.	later.
meŋ á syakne tɛ zá.	thanks a lot.
o zí’né asikúu mbɔŋɔ́ mboo!	study well!
o zhɛ́ ejʉ’ nnɛ̄t cúu?	do you know the parts of your body?
pfeŋŋɛ athū jú.	touch your head.
pínté menēk mú.	blink your eyes.
tswi gá nchu wú.	show me your mouth.
cwáté legʉɔ’ cú.	pat your cheek.
zápá apū á levem wu.	touch your stomach.
tswi gá alə̄ jú.	show me your tongue.
ŋŋ meŋ zhɛ́ɛ̄.	yes i do.
athū zá a jʉɔ.	this is my head.
meŋ á pinte.	I blink.
nchu gá a wuɔ.	this is my mouth.
meŋ á sī ńcwátɛ́ leghʉɔ’ tsá.	I pat my cheek.
meŋ á zápá apū zá levem meŋ.	I touched my stomach.
mesaŋ ŋguʼlāʼ.	the months of the year.
Ánɛ ŋgʉʼlāʼ mesaŋ é gɔ ntsɔppīā āāā ńzii ánɛ saʼakhu ńzūkū ánɛ ntʉɔ́ŋgɔ̄ŋ	A year has twelve months It starts in January and end in December
Ánɛ saʼakhu.	In January.
mé ziŋŋɛ ńsāʼ ékhu, atsáʼ.	we walk by skipping.
mé pu ntɔɔnɛ.	for the earth is too hot.
Ánɛ ŋkuúŋgɔ̄ŋ.	In February.
mé khu ŋgɔ̄ŋ.	we plough.
ńdɔkɔ ńzwíʼté mbeŋ.	waiting for the rain.
Ánɛ mpfɛttémbeŋ.	In March.
mbeŋ á lú.	it rains.
mé lɔkɔ ḿbhī etsō.	and we sow.
Ánɛ athūchʉ̄.	In April.
mbo mé lé phi etsō.	since we did sow.
āā nzi á nnaʼ ńzáŋ mboo.	.there is a little bit hunger.
Ánɛ ntʉɛ́khu.	In may.
mé nɔŋɔ ńshú ana.	we weed.
mbɛ́ɛncʉɔ á tʉɔ ekhu.	and the hoe injures our leg.
Ánɛ mɔŋwʉ́.	In June.
apɛ́ á naʼa ŋ́wāŋnē méŋwʉ́ mé ghʉ̄ɛ̄.	there is moon.
Ánɛ ŋwʉ́veŋɛ.	In July.
mé zi á léfaʼa etsō ńdɔkɔ ńzī á lepɔŋ.	we start to harvest.
Ánɛ mbɔŋɔ́lāʼ.	In august.
alāʼ alāʼ á kə ḿbɔ̄ŋ mboo mé pu ŋ́kák eshhʉ meshhʉ.	we enjoy the village.
Ánɛ nduɔ́nts-hi.	In September.
nts-hi á kɔ́ʼ a tɛɛɛ.	there is full of water.
Ánɛ njuŋɔ́lo.	In October.
alo á phʉɛ ŋghi.	dryness starts.
Ánɛ ŋwaŋapɛ́.	In November
apɛ́ á pu ŋ́wāŋnē lezēksaŋ mé ghʉ̄ɛ̄.	 there is full moon.
Ánɛ ntʉɔ́ŋgɔ̄ŋ.	In December we weed.
mé tʉɔ ŋgɔ̄ŋ ḿbɔ́k mmók á létɔ meŋgȳā.	so that bush fire will not burn houses.
Taʼŋguʼ á lɔkɔ ḿmī mé zɛ ńsɛ̄rɛ̄ athū.	A year is finished and the cycle resumes.
Lezɛ́té lezēŋ pɔ́ leshúŋɔ́ lezēŋ.	to ask and to tell the name.
Meŋ shúŋŋɔ́ yémba.	I speack yémba.
Meŋ shúŋŋɔ́ aflaánsi.	I speack french.
Meŋ shúŋŋɔ́ ŋgliísi.	I speack english.
mbɔ.	and.
mamá sī ńsōkō lekʉŋ.	mummy is whashing pot.
Meéŋ sī ńsōkō mbū má.	i am whashing my hands.
Lezɛ́té lezēŋ pɔ́ leshúŋɔ́ lezēŋ.	to ask and to tell the name.
Meŋ á tsaʼte!	Hello!
Lezēŋ tsá lɛ ŋkʉŋɛfāk.	My name is Kenfack.
Meŋ mbɔ́ŋɔ́ ŋguʼ legēm ḿbiŋ ńzɛ́ ŋgaŋ asikúu.	I am ten years old and i am still a pupil.
Mə́ lə́ ŋ́gɛ akɔ̄ ńdɔkɔ ńtswí ŋgə yi á shʉʼ ii?	What do we say to welcome some one?
apa zi mə́ pfɛɛ etsō é gɔ ńtáŋɛ́ ntə̄ mə́ tɔ́ŋɔ́ á lɛkɔ̄?	what do we call the bag in which eated food is stored ?
lezēŋ meŋkʉŋkhʉ mi mets-hi é tɔkɔ ntə̄ á lɛkɔ̄?	what do we call ropes in which blood circulates?
epak etsō tsi é nchu ŋ́gɔ́ fʉ́fhó lá lezēŋ tsɔ́p á lɛkɔ̄?	what do we call those whites slices that are in the mouth ?
